region,party
E14000530,Con
E14000531,Con
E14000532,Con
E14000533,Con
E14000534,Con
E14000535,Lab
E14000536,Con
E14000537,Lab
E14000538,Con
E14000539,Con
E14000540,Lab
E14000541,Lab
E14000542,Lab
E14000543,Lab
E14000544,Con
E14000545,Con
E14000546,Lab
E14000547,Con
E14000548,Lab
E14000549,Con
E14000550,Con
E14000551,Con
E14000552,Con
E14000553,Lab
E14000554,Con
E14000555,Lab
E14000556,Con
E14000557,Con
E14000558,Con
E14000559,Lab
E14000560,Lab
E14000561,Lab
E14000562,Lab
E14000563,Lab
E14000564,Lab
E14000565,Lab
E14000566,Lab
E14000567,Lab
E14000568,Lab
E14000569,Lab
E14000570,Lab
E14000571,Lab
E14000572,Con
E14000573,Lab
E14000574,Lab
E14000575,Lab
E14000576,Con
E14000577,Lab
E14000578,Lab
E14000579,Lab
E14000580,Con
E14000581,Lab
E14000582,Con
E14000583,Con
E14000584,Con
E14000585,Con
E14000586,Con
E14000587,Lab
E14000588,Lab
E14000589,Lab
E14000590,Con
E14000591,Lab
E14000592,Lab
E14000593,Lab
E14000594,Con
E14000595,Con
E14000596,Con
E14000597,Con
E14000598,Green
E14000599,Lab
E14000600,Con
E14000601,Lab
E14000602,Lab
E14000603,Con
E14000604,Con
E14000605,Con
E14000606,Con
E14000607,Con
E14000608,Spk
E14000609,Lab
E14000610,Con
E14000611,Con
E14000612,Lab
E14000613,Con
E14000614,Con
E14000615,Lab
E14000616,Con
E14000617,Lab
E14000618,Con
E14000619,Con
E14000620,Con
E14000621,LD
E14000622,Con
E14000623,Con
E14000624,Con
E14000625,Con
E14000626,Con
E14000627,Con
E14000628,Con
E14000629,Con
E14000630,Con
E14000631,Con
E14000632,Lab
E14000633,Con
E14000634,Con
E14000635,Con
E14000636,Con
E14000637,Lab
E14000638,Con
E14000639,Con
E14000640,Lab
E14000641,Lab
E14000642,UKIP
E14000643,Con
E14000644,Con
E14000645,Con
E14000646,Con
E14000647,Lab
E14000648,Con
E14000649,Lab
E14000650,Lab
E14000651,Lab
E14000652,Con
E14000653,Con
E14000654,Con
E14000655,Lab
E14000656,Con
E14000657,Lab
E14000658,Lab
E14000659,Con
E14000660,Con
E14000661,Lab
E14000662,Con
E14000663,Lab
E14000664,Con
E14000665,Con
E14000666,Lab
E14000667,Lab
E14000668,Lab
E14000669,Lab
E14000670,Con
E14000671,Lab
E14000672,Con
E14000673,Lab
E14000674,Lab
E14000675,Lab
E14000676,Lab
E14000677,Lab
E14000678,Con
E14000679,Lab
E14000680,Con
E14000681,Con
E14000682,Con
E14000683,Con
E14000684,Con
E14000685,Con
E14000686,Con
E14000687,Lab
E14000688,Lab
E14000689,Con
E14000690,Lab
E14000691,Lab
E14000692,Con
E14000693,Con
E14000694,Con
E14000695,Con
E14000696,Lab
E14000697,Con
E14000698,Lab
E14000699,Con
E14000700,Con
E14000701,Lab
E14000702,Con
E14000703,Con
E14000704,Con
E14000705,Con
E14000706,Con
E14000707,Con
E14000708,Lab
E14000709,Lab
E14000710,Lab
E14000711,Con
E14000712,Con
E14000713,Con
E14000714,Con
E14000715,Con
E14000716,Lab
E14000717,Con
E14000718,Lab
E14000719,Con
E14000720,Lab
E14000721,Lab
E14000722,Con
E14000723,Lab
E14000724,Con
E14000725,Lab
E14000726,Lab
